(Do Not Modify) Consumer Advisory,(Do Not Modify) Row Checksum,(Do Not Modify) Modified On,Consumer Advisory ID,Title,Consumer Advisory Category,Supply,Start Date and Time,End Date and Time,Status,Redacted
4952ad62-a0dc-ed11-a7c7-002248930713,yfWMUpPin7nEPxfxU/4hScyGaZN7VrXMNlKi1UbCXnVbds5EJMjzH/fchW6xIV1e3R3i6edkAMwjaXmcilO9hQ==,20/04/2023 2:25,CA-00001344,Boil Water Notice Mt Somers,Boil Water,Mt Somers,14/04/2023 19:50,15/04/2023 20:00,Inactive,FALSE
084b2d6d-1269-ed11-81ab-000d3acb5a90,eE4nST3Ccyjw0jDUs7GVEmdPDqqvgvQACYTEzS0pR6sQcvkrSpTfmHnUUQVi13/0X37K521lhzhVPrImSB/1CA==,22/03/2024 1:36,CA-00001264,Long term boil water advisory Mt. Somers (Ashburton),Boil Water,Mt Somers,20/11/2022 6:30,24/11/2022 16:30,Inactive,FALSE
984d08ee-1407-ed11-82e5-002248934c07,hDYn55kOSqiKlVfQN01/TGFMnLuOgdjLuv75WRGjShblb+eQ7d22nX04HoXxbaXvsVuGKc3ivGWiXUMLMTerPA==,8/12/22 02:52,CA-00001164,Boil water advisory Mt Somers (Ashburton DC),Boil Water,Mt Somers,19/07/2022 14:00,24/07/2022 15:30,Inactive,FALSE
4c79fb22-07c9-ed11-b596-002248930713,mHeaSuqyvH91Y92gHJQUOf2ezXbuGCuV6YTSKVMfcWHmsPumich5MjGyA0C5F44dvrJ/3IO3kR+JUnf+T2IbXA==,6/3/24 03:13,CA-00001334,Do not Drink Advisory | Muriwai School (Gisborne),Do Not Drink,Muriwai School,7/3/23 08:00,3/4/23 08:00,Inactive,FALSE
ef856321-1fa8-ed11-aad1-000d3acb5a90,XmRcCng4qEqxpAcn+PVN/3qcrNhsrQjuLFce2o4fxu+0f3w/+Z8QRpdSTMjv/3/W8KYUJCIn/9Tb3Hr8HMmeDA==,31/03/2023 3:30,CA-00001302,Boil Water Advisory | Murupara - WDC,Boil Water,Murupara,9/2/23 08:00,21/02/2023 8:00,Inactive,FALSE
aa5c343f-2de1-ec11-bb3e-002248934a11,Wa6dbswnZU61qKjJNXfNmFM83MCGA5ZnQHFjd9Nmis5dbo1CLRxjdKq37vsjkHnylnkLoU1bbRcjP+7E/8xtfQ==,8/12/22 01:32,CA-00001081,Boil water advisory Nelson (Nelson City),Boil Water,Nelson,31/05/2022 18:00,3/6/22 14:13,Inactive,FALSE
0accee6b-7574-ee11-8179-000d3acb5a90,4dT55tB1+n0fLLLiyBKkL9svlexK1TRRrv+gZd8+5yvKMnsXyuDVQGGEPL9ievfzqo3tf797iPpEghulDEmRFg==,27/10/2023 3:03,CA-00001432,BWN | Ngahinapouri School,Boil Water,Ngahinapouri School,16/10/2023 8:00,18/10/2023 8:00,Inactive,FALSE
19da73ce-0dc6-ee11-9079-000d3acb5a90,m7Rzj7SBT/ezLwdvbIIzGUcjGGMJuhyb3lvlUcS80bYREJu/aEDby732OuoKYXhBHU6A7h4Cf0jrazq2p358Uw==,3/3/24 21:51,CA-00001522,Do Not Drink | Ngata Memorial College,Do Not Drink,Ngata Memorial College,16/01/2024 8:00,18/02/2024 8:00,Inactive,FALSE
62cf2195-2166-ed11-9560-000d3acb5a90,qsuujBJ7hS/4faOPkrILSjpLCmfnUhEqARlc9RoE/1/mWFp7MHKOQbKRQr81YFYaaHB1m3lK+ELfCU9BamlmFw==,30/05/2023 2:33,CA-00001261,Boil water advisory for North Bruce Rural - Plant repairs,Boil Water,North Bruce Rural,29/07/2022 16:03,30/07/2022 16:00,Inactive,FALSE
87234317-194d-ee11-be6f-002248933ae4,km3gpYDhkKj1PLeDfTDJ46IeDCcpEZhkgToauyt95Frif9rZbs/5z13KVfG+q1elxUOXahhE/mJh4KalZsCdzQ==,5/2/24 01:17,CA-00001407,Boil Water Advisory | Nuhaka School,Boil Water,Nuhaka School,24/07/2023 8:00,30/09/2023 8:00,Inactive,FALSE
9d767a91-16d4-ee11-904d-002248933479,aexiB2E1BIaOa4QPkZDxiUQwDIPKiMc77df7iC6Qj0XCaDVs24g5fZbRMfMlBGP3Cx4+Z8GMm2Yp8tF96YCQ2g==,26/02/2024 19:26,CA-00001539,Boil Water Advisory | Ohinewai School,Boil Water,Ohinewai School,12/2/24 08:00,19/02/2024 8:00,Inactive,FALSE
f434e7f0-cd3f-ee11-bdf3-000d3acb5a90,Nn3aE/bWwrDEcvCSNGlpCzbEZlLxLqIB14LuCtquQVueS5I7zS7fDGfhBrTaiRfTPNzbwY3UWahznbOpgZeDVg==,21/08/2023 2:53,CA-00001399,Do not Drink Advisory | Ohinewai School,Do Not Drink,Ohinewai School,9/8/23 08:00,21/08/2023 8:00,Inactive,FALSE
3ef5345c-b5f8-ec11-82e7-002248934c07,SE2OR6qLPTZxiZmLD2vw1909vIcJe1+tI4sOQmJLOWYESrahPMpy/nMlhX4boPMTVzrz18Ou4P8Rk9P9hJNuOg==,8/12/22 02:38,CA-00001143,Boil Water advisory Ohiwa Opotiki,Boil Water,Ohiwa,6/4/22 08:00,9/4/22 08:00,Inactive,FALSE
0d58d8ec-60fe-ed11-8f6d-002248930713,tXPWutCeCPwKvCoJmBWe7M/QVlEKzdrhP6iM/h/VQCMEz7E6C2n5xLreSnBnK3k5jOg6Nxm3hrkgM0cLVw2Fkg==,9/1/24 22:17,CA-00001365,Boil water advisory | Ohuka School,Boil Water,Ohuka School,17/05/2023 8:00,6/6/23 08:00,Inactive,FALSE
0bc025e3-d27f-ed11-81ac-000d3acb5a90,Geic43+wCMmhysrdeJXx+NDjh+XGaioWzgoT5uajDPzN6UlAydKZuSF4wnu+bStC9EszBo8vB8GyBq3QeNJBxQ==,22/12/2022 20:30,CA-00001282,Boil Water Advisory Omori/Kuratau/Pukawa Taupo District Council,Boil Water,Omori/Kuratau/Pukawa,19/12/2022 10:00,22/12/2022 14:51,Inactive,FALSE
77907e45-7ffb-ee11-9f89-6045bdc2683a,3SPr6QMuFuop9gW/PMS3osnY259IlzBI7Oj23OjgY7XXxg41vsi5mUlbzgFH9XWqidqZyB/sm0NW8pN5rJUkQg==,15/04/2024 23:24,CA-00001566,Do Not Drink | Opiki School,Do Not Drink,Opiki School,28/02/2024 8:00,,Active,FALSE
5a9cfdbd-18c9-ed11-b596-002248930713,sv6U30Uy6a8KtNeyBtZLnlpw+ByOppDLgA6PYtf8d9KBB60khEYj/5CUR1lFA1Ae+t13ff2As8ryFzdaQsU0LA==,4/5/23 21:59,CA-00001337,Do not Drink | Ormond School (Gisborne),Do Not Drink,Ormond School,3/3/23 08:00,20/03/2023 8:00,Inactive,FALSE
c7dccb2f-09f1-ec11-bb3d-002248934c07,P2zluVhfQBzV8xfCmvq/CX7HIA5MsbAVwBH0/t73ntDNp2wsWHuJbgH0T1Wu5hObfD90W454iOzmGlcH00GL5g==,8/12/22 01:55,CA-00001099,Boil water advisory Otama,Boil Water,Otama,9/12/21 11:00,14/12/2021 9:00,Inactive,FALSE
26749cd3-9d2d-ed11-9db1-002248933f86,2ItmrwQzzSRljrSQ679ew6VLm/zrIp1NmUuO5jIC8Kc23N+sGnxoYV8Fp8Bn0DmwMbuKjqj5+oBu3mLT7Y9a1w==,8/12/22 03:07,CA-00001221,Boil water advisory Otamarakau School Aug 22,Do Not Drink,Otamarakau School,17/08/2022 8:00,22/08/2022 8:00,Inactive,FALSE
112e4fb4-d0a8-ed11-aad1-002248930713,HVQNvqtzOtsOb7LJ0ZYEnavft8JQMIqgjcal0OKl9tx0jrq11Bs4gGRGUbyy9UCuDnLC3p5y38PQfBjh71BZ1A==,28/01/2024 22:04,CA-00001303,Boil Water Advisory I Otamure Bay (Whananaki) Campsite,Boil Water,Otamure Whananaki,4/1/23 21:00,1/3/23 08:00,Inactive,FALSE
1e26f1ac-07c9-ed11-b596-002248930713,c95Hh0eanmZP2CF1l9CJ8nLiaczV8k5eVz1/BP/D2/g7H+bEDV8W8mIfacWz+IKo2iuauZ8X1cBI/k4HSBRk7Q==,16/05/2023 2:27,CA-00001335,Boil Water Advisory | Otaua Primary School (Auckland),Boil Water,Otaua School,3/3/23 08:00,17/03/2023 8:00,Inactive,FALSE
5bb8027e-2eb3-ee11-a568-002248930713,UNQ5So2Sh1BXAP+kLqGqARCJpNF4bKGWAr6T7SoFRhrHVgx5srJ5rLU1BUB57GnBhIF0kxyYGbCFXAmz29S96Q==,24/01/2024 0:58,CA-00001515,Boil water Otematata,Boil Water,Otematata,14/01/2024 4:30,18/01/2024 13:30,Inactive,FALSE
8d8373dc-0beb-ee11-a1fd-000d3a6a1138,z6ygfbnSD/sfOH9gTZcK/pYVHKnYiMFHNIMpQb+ttz2P8P6uIumNwGWts2VMMZSA2RPru11UW5j7ZfA/ejHMwQ==,26/03/2024 0:57,CA-00001556,Do not Use Otewa School,Do Not Use,Otewa School,11/3/24 08:00,25/03/2024 8:00,Inactive,FALSE
04ec094a-9b4a-ed11-bba2-002248933ae4,cz1VB8m2YQDwfwXXVfFZJZEY2eyzrtRTzHTka0G7MXfW19PmMH+RhNHecnghQijxydriFD6+iJbg1Vdzr9j+Pg==,5/12/22 01:19,CA-00001248,Do Not Drink - E.coli - Oturu School,Do Not Drink,Oturu School,8/9/22 08:00,23/09/2022 8:00,Inactive,FALSE
